region,state,energy_type,start_date,end_date,start_value,end_value,change,change_sign
Southern,Kerala,grand_total,2019-01-01,2023-12-01,2963.05,3752.22,789.1699999999996,Increase
Southern,Lakshadweep,coal,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Lakshadweep,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Lakshadweep,diesel,2019-01-01,2023-12-01,0.0,26.83,26.83,Increase
Southern,Lakshadweep,thermal_total,2019-01-01,2023-12-01,0.0,26.83,26.83,Increase
Southern,Lakshadweep,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Lakshadweep,hydro,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Lakshadweep,res,2019-01-01,2023-12-01,0.75,4.97,4.22,Increase
Southern,Lakshadweep,grand_total,2019-01-01,2023-12-01,0.75,31.8,31.05,Increase
Southern,Puducherry,coal,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Puducherry,gas,2019-01-01,2023-12-01,32.5,32.5,0.0,No Change
Southern,Puducherry,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Puducherry,thermal_total,2019-01-01,2023-12-01,32.5,32.5,0.0,No Change
Southern,Puducherry,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Puducherry,hydro,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Puducherry,res,2019-01-01,2023-12-01,1.73,43.27,41.540000000000006,Increase
Southern,Puducherry,grand_total,2019-01-01,2023-12-01,34.23,75.77,41.54,Increase
Southern,Tamil Nadu,coal,2019-01-01,2023-12-01,12760.0,10045.0,-2715.0,Decrease
Southern,Tamil Nadu,gas,2019-01-01,2023-12-01,1027.18,1027.18,0.0,No Change
Southern,Tamil Nadu,diesel,2019-01-01,2023-12-01,211.7,211.7,0.0,No Change
Southern,Tamil Nadu,thermal_total,2019-01-01,2023-12-01,13998.88,14923.88,925.0,Increase
Southern,Tamil Nadu,nuclear,2019-01-01,2023-12-01,2440.0,2440.0,0.0,No Change
Southern,Tamil Nadu,hydro,2019-01-01,2023-12-01,2178.2,2178.2,0.0,No Change
Southern,Tamil Nadu,res,2019-01-01,2023-12-01,11934.38,19006.27,7071.890000000001,Increase
Southern,Tamil Nadu,grand_total,2019-01-01,2023-12-01,30551.46,38548.35,7996.889999999999,Increase
Southern,Telangana,coal,2019-01-01,2023-12-01,7482.5,8642.5,1160.0,Increase
Southern,Telangana,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Telangana,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Telangana,thermal_total,2019-01-01,2023-12-01,7482.5,8642.5,1160.0,Increase
Southern,Telangana,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Southern,Telangana,hydro,2019-01-01,2023-12-01,2405.6,2405.6,0.0,No Change
Southern,Telangana,res,2019-01-01,2023-12-01,3805.83,5152.32,1346.4899999999998,Increase
Southern,Telangana,grand_total,2019-01-01,2023-12-01,13693.93,16200.42,2506.49,Increase
Western,Chhatisgarh,coal,2019-01-01,2023-12-01,22968.0,23688.0,720.0,Increase
Western,Chhatisgarh,gas,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Chhatisgarh,diesel,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
Western,Chhatisgarh,thermal_total,2019-01-01,2023-12-01,22968.0,23688.0,720.0,Increase
Western,Chhatisgarh,nuclear,2019-01-01,2023-12-01,0.0,0.0,0.0,No Change
